variant,salt_mM,n_frames,rms_e2e_nm,mean_e2e_nm,std_e2e_nm,mean_rg_nm,std_rg_nm
disordered,0,90000,7.207435607910156,7.063614368438721,1.432647943496704,2.5305263996124268,0.26598772406578064
disordered,10,90000,6.936266899108887,6.777441024780273,1.4758363962173462,2.461577892303467,0.27625972032546997
disordered,20,90000,6.739234924316406,6.563872337341309,1.5273724794387817,2.4112589359283447,0.28800177574157715
disordered,50,90000,6.38661527633667,6.187417984008789,1.5826295614242554,2.3147971630096436,0.30480101704597473
disordered,100,90000,5.986407279968262,5.756609916687012,1.6427154541015625,2.2051477432250977,0.32731378078460693
disordered,150,90000,5.70352029800415,5.444882869720459,1.6980578899383545,2.124591112136841,0.3480679392814636
disordered,200,90000,5.509421348571777,5.23090124130249,1.729567289352417,2.0667502880096436,0.3617144823074341
disordered,300,90000,5.221062183380127,4.920289039611816,1.7464958429336548,1.9824718236923218,0.3754628896713257
disordered,400,90000,5.016190528869629,4.703529357910156,1.743268370628357,1.9232345819473267,0.3819083869457245
disordered,500,90000,4.9139790534973145,4.594910621643066,1.7418359518051147,1.8930343389511108,0.38516533374786377
disordered,700,90000,4.801558494567871,4.471498966217041,1.7494759559631348,1.857042670249939,0.38853755593299866
disordered,1000,90000,4.7063422203063965,4.379052639007568,1.7243996858596802,1.826473593711853,0.3886057734489441
hairpin,0,90000,1.8891007900238037,1.8073185682296753,0.5498197674751282,1.4683101177215576,0.09226937592029572
hairpin,10,90000,1.8750641345977783,1.7950226068496704,0.5419959425926208,1.440346121788025,0.09454398602247238
hairpin,20,90000,1.866026520729065,1.786918044090271,0.5375674366950989,1.423012375831604,0.09673428535461426
hairpin,50,90000,1.8523783683776855,1.7754899263381958,0.5281487107276917,1.387245535850525,0.10208242386579514
hairpin,100,90000,1.8376461267471313,1.7629826068878174,0.5184938907623291,1.3497117757797241,0.11019565165042877
hairpin,150,90000,1.8258004188537598,1.751970648765564,0.5139510631561279,1.3267624378204346,0.1167786568403244
hairpin,200,90000,1.8180359601974487,1.7444978952407837,0.5118417143821716,1.3111920356750488,0.12018385529518127
hairpin,300,90000,1.8087079524993896,1.7359427213668823,0.5078650712966919,1.288282871246338,0.12384328991174698
hairpin,400,90000,1.8019369840621948,1.729321002960205,0.5063855648040771,1.2769559621810913,0.12695689499378204
hairpin,500,90000,1.79425048828125,1.7216264009475708,0.5053089261054993,1.2692973613739014,0.12846334278583527
hairpin,700,90000,1.7868695259094238,1.7150527238845825,0.5014947056770325,1.2580455541610718,0.12921176850795746
hairpin,1000,90000,1.7863576412200928,1.7140930891036987,0.5029494762420654,1.2523949146270752,0.1304575651884079
